Date,Open,High,Low,Close,Volume
6/9/2016 15:30:00,43400,43650,42700,42700,155726
6/10/2016 15:30:00,42900,43800,42250,43400,116548
6/13/2016 15:30:00,43450,43450,41950,42050,123667
6/14/2016 15:30:00,41650,42550,41350,42450,113224
6/15/2016 15:30:00,42050,42500,41100,41550,123602
6/16/2016 15:30:00,41350,42550,41350,41950,121922
6/17/2016 15:30:00,42000,42450,41350,41750,99516
6/20/2016 15:30:00,41750,42100,41450,42100,117190
6/21/2016 15:30:00,42250,42250,41250,41700,83012
6/22/2016 15:30:00,41950,42200,41500,41550,71551
6/23/2016 15:30:00,41300,41600,40250,40750,133757
6/24/2016 15:30:00,40850,41150,38000,38150,405759
6/27/2016 15:30:00,37000,39700,37000,39100,178280
6/28/2016 15:30:00,38700,39800,38500,39250,109072
6/29/2016 15:30:00,39400,40150,39400,39850,75055
6/30/2016 15:30:00,40200,40600,39650,40150,84224
7/1/2016 15:30:00,40400,40400,40000,40200,62452
7/4/2016 15:30:00,40200,40350,39600,39750,67234
7/5/2016 15:30:00,40050,40050,39400,39500,73527
7/6/2016 15:30:00,39250,40200,39050,40150,81994
7/7/2016 15:30:00,40150,40550,39550,39850,123009
7/8/2016 15:30:00,40100,40350,38500,39250,108798
7/11/2016 15:30:00,39150,39200,38450,38800,107690
7/12/2016 15:30:00,39100,39750,39100,39150,84828
7/13/2016 15:30:00,39350,39900,39200,39400,79229
7/14/2016 15:30:00,39750,39750,38700,38950,81948
7/15/2016 15:30:00,39300,39750,39100,39200,75246
7/18/2016 15:30:00,39300,39400,38550,38950,75529
7/19/2016 15:30:00,38950,39500,38950,39050,65033
7/20/2016 15:30:00,39050,39500,38650,39250,56093
7/21/2016 15:30:00,39500,39650,38750,39000,86717
7/22/2016 15:30:00,39000,39150,38200,38500,162767
7/25/2016 15:30:00,38550,38850,38350,38550,96302
7/26/2016 15:30:00,38550,38600,37800,37950,105890
7/27/2016 15:30:00,38250,38450,37900,38400,80502
7/28/2016 15:30:00,38700,38800,38300,38500,58338
7/29/2016 15:30:00,38600,38750,38100,38100,84819
8/1/2016 15:30:00,38400,38600,37000,37050,161881
8/2/2016 15:30:00,36100,36500,33750,34100,799488
8/3/2016 15:30:00,33800,34550,33750,33850,354627
8/4/2016 15:30:00,33850,34550,33750,33800,322072
8/5/2016 15:30:00,33400,33700,32000,32250,567713
8/8/2016 15:30:00,32250,32900,31800,32700,691720
8/9/2016 15:30:00,33300,34150,33300,34000,411166
8/10/2016 15:30:00,34350,35500,34250,35400,330780
8/11/2016 15:30:00,35500,35500,33850,34100,417632
8/12/2016 15:30:00,34350,34750,33750,34150,252864
8/16/2016 15:30:00,33900,34350,33800,33850,164622
8/17/2016 15:30:00,33600,33850,32800,33500,206719
8/18/2016 15:30:00,33300,34200,33250,33800,149790
8/19/2016 15:30:00,34300,34450,33550,33550,114471
8/22/2016 15:30:00,33750,33950,33150,33200,102750
8/23/2016 15:30:00,33550,33700,32850,32950,120367
8/24/2016 15:30:00,33000,33150,32300,32500,183373
8/25/2016 15:30:00,32450,32700,32100,32250,149101
8/26/2016 15:30:00,32050,32900,32050,32750,91179
8/29/2016 15:30:00,33000,33400,31300,31750,279080
8/30/2016 15:30:00,31500,31750,30450,30850,449561
8/31/2016 15:30:00,30800,31750,30350,31750,213721
9/1/2016 15:30:00,31750,32950,31450,32900,226204
9/2/2016 15:30:00,32850,33300,32450,32850,143230
9/5/2016 15:30:00,33200,33550,32350,32950,182109
9/6/2016 15:30:00,33100,33400,32850,32950,133169
9/7/2016 15:30:00,33000,33200,32100,32150,136099
9/8/2016 15:30:00,32000,32700,31500,32150,134974
9/9/2016 15:30:00,32100,32100,31600,31800,69517
9/12/2016 15:30:00,31000,31700,31000,31150,86322
9/13/2016 15:30:00,31200,31450,31100,31400,64868
9/19/2016 15:30:00,31100,31400,30950,31400,59698
9/20/2016 15:30:00,31400,32150,31150,32150,91470
9/21/2016 15:30:00,32200,33200,32050,33150,179004
9/22/2016 15:30:00,33350,33700,33000,33500,166219
9/23/2016 15:30:00,33550,33700,33100,33150,78353
9/26/2016 15:30:00,33300,33350,32750,32900,48211
9/27/2016 15:30:00,32600,32850,32300,32850,65872
9/28/2016 15:30:00,32800,33150,32550,32850,48140
9/29/2016 15:30:00,32750,33300,32750,33150,60775
9/30/2016 15:30:00,32850,33150,32100,32150,109699
10/4/2016 15:30:00,32150,32750,32000,32550,57876
10/5/2016 15:30:00,32600,32750,32250,32450,45295
10/6/2016 15:30:00,32500,33150,32500,33050,80593
10/7/2016 15:30:00,33200,33250,32400,32400,75709
10/10/2016 15:30:00,32100,32600,32100,32250,44564
10/11/2016 15:30:00,32250,32600,32200,32600,67147
10/12/2016 15:30:00,32400,32700,32300,32600,67847
10/13/2016 15:30:00,32750,32800,32200,32200,62179
10/14/2016 15:30:00,32250,32400,31900,31950,45459
10/17/2016 15:30:00,32000,32000,31000,31250,111460
10/18/2016 15:30:00,31100,31450,31050,31050,40194
10/19/2016 15:30:00,31100,31300,30950,31200,51362
10/20/2016 15:30:00,31450,31450,31000,31050,51077
10/21/2016 15:30:00,30950,31200,30950,31000,36462
10/24/2016 15:30:00,30800,31100,30600,31000,54124
10/25/2016 15:30:00,30750,31000,30000,30250,125518
10/26/2016 15:30:00,29900,30050,28700,29250,206813
10/27/2016 15:30:00,29050,30000,29050,29900,105793
10/28/2016 15:30:00,29950,30000,29200,29500,74353
10/31/2016 15:30:00,29300,29850,29100,29300,73434
11/1/2016 15:30:00,28700,29500,28700,29000,52721
11/2/2016 15:30:00,28750,29050,27950,28000,125581
11/3/2016 15:30:00,27500,28200,27350,27800,126848
11/4/2016 15:30:00,27550,27600,27200,27350,144459
11/7/2016 15:30:00,27350,27800,27300,27550,99271
11/8/2016 15:30:00,27600,27900,27450,27850,75569
11/9/2016 15:30:00,27850,28450,26700,27350,211929
11/10/2016 15:30:00,28450,29600,28350,28700,250593
11/11/2016 15:30:00,28500,29100,27800,27950,140412
11/14/2016 15:30:00,28250,29450,28200,28850,144023
11/15/2016 15:30:00,28600,28850,28400,28550,63638
11/16/2016 15:30:00,28400,28600,28300,28600,67888
11/17/2016 15:30:00,28600,29300,28550,28950,114904
11/18/2016 15:30:00,28750,28750,28200,28250,75583
11/21/2016 15:30:00,27350,27350,25800,26300,322523
11/22/2016 15:30:00,26400,26700,26050,26400,94964
11/23/2016 15:30:00,26300,26500,26100,26300,56133
11/24/2016 15:30:00,26100,26400,25350,25400,145057
11/25/2016 15:30:00,25200,26150,25200,26050,61897
11/28/2016 15:30:00,26050,27400,26050,27400,107366
